Time;;ID (hex);Data (hex)
15:35:55.605;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.608;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.610;;18F00400;00 7D 7D 00 00 07 00 7D
15:35:55.612;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.616;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.620;;18FEEF00;01 FF FF 00 FF FF FF FF
15:35:55.628;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.632;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.636;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.640;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.644;; CFDD680;04 0F 04 32 F0 30 3F FF
15:35:55.645;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.646;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.648;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.650;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.652;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.655;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.656;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.660;;18F00400;00 7D 7D 00 00 07 00 7D
15:35:55.668;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.672;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.673;; CFDD680;04 0A 04 28 F0 30 3F FF
15:35:55.674;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.676;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.688;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.690;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.692;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.695;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.696;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.699;; CFDD680;04 0A 04 1E F0 30 3F FF
15:35:55.700;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.700;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.705;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.708;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.710;;18F00400;00 7D 7D 00 00 07 00 7D
15:35:55.712;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.716;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.727;; CFDD680;01 00 04 19 F0 30 3F FF
15:35:55.727;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.728;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.732;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.736;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.740;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.745;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.748;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.750;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.752;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.753;; CFDD680;01 00 04 0F F0 30 3F FF
15:35:55.754;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.755;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.756;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.760;;18F00400;00 7D 7D 00 00 07 00 7D
15:35:55.768;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.772;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.776;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.781;; CFDD680;01 00 04 0A F0 30 3F FF
15:35:55.781;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.788;;18FF0104;00 10 00 09 00 10 00 00
15:35:55.790;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.792;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.795;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.796;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.800;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.805;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.807;; CFDD680;01 00 04 05 F0 30 3F FF
15:35:55.808;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.809;;18FF0104;00 10 00 09 00 00 00 00
15:35:55.810;;18F00400;00 7D 7D 00 00 07 00 7D
15:35:55.812;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.816;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.828;;18FF0104;00 10 00 09 00 00 00 00
15:35:55.832;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.834;; CFDD680;01 00 04 05 F0 30 3F FF
15:35:55.835;; CFDD780;F3 FF FF FF FF FF FF FF
15:35:55.836;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.840;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.845;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.848;;18FF0104;00 10 00 09 00 00 00 00
15:35:55.850;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.852;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.855;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.856;;18FFF504;FF 82 00 FF 00 07 FF 01
